MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,PLAYER_NAME
@LAL,W,24,1,3,0.333,0,1,0.0,0,0,0.0,1,4,5,2,1,2,2,1,2,9,Christian Braun
MIA,W,20,1,2,0.5,0,0,0.0,0,1,0.0,1,1,2,1,1,1,0,3,2,2,Christian Braun
SAC,W,20,2,8,0.25,1,6,0.167,0,0,0.0,0,3,3,0,1,0,0,2,5,-13,Christian Braun
@GSW,W,20,3,7,0.429,1,2,0.5,0,0,0.0,2,1,3,0,1,1,0,1,7,-1,Christian Braun
@POR,W,20,1,5,0.2,0,2,0.0,1,2,0.5,0,2,2,4,0,0,2,1,3,6,Christian Braun
WAS,W,23,5,8,0.625,1,2,0.5,1,3,0.333,4,6,10,1,2,0,1,2,12,10,Christian Braun
SAC,L,23,1,6,0.167,1,2,0.5,2,4,0.5,2,1,3,2,1,1,0,3,5,1,Christian Braun
@MIL,L,22,2,7,0.286,0,3,0.0,3,4,0.75,0,5,5,0,2,0,0,2,7,-7,Christian Braun
@SAC,L,27,4,8,0.5,1,2,0.5,4,4,1.0,2,1,3,1,0,1,1,3,13,-13,Christian Braun
@LAL,W,13,1,3,0.333,1,1,1.0,0,0,0.0,1,0,1,1,0,1,0,0,3,-9,Christian Braun
POR,W,28,1,4,0.25,0,0,0.0,2,3,0.667,2,1,3,2,1,0,0,0,4,18,Christian Braun
POR,W,8,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,1,2,-7,Christian Braun
@OKC,L,16,4,7,0.571,2,4,0.5,0,0,0.0,1,4,5,0,1,0,0,0,10,-12,Christian Braun
MIL,W,17,0,1,0.0,0,0,0.0,0,0,0.0,2,4,6,1,0,0,0,2,0,10,Christian Braun
PHI,W,17,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,2,0,0,0,2,2,0,Christian Braun
@NYK,L,15,1,4,0.25,0,1,0.0,2,2,1.0,1,2,3,0,0,0,1,1,4,-10,Christian Braun
@IND,W,15,1,3,0.333,0,2,0.0,0,0,0.0,3,1,4,0,1,1,0,0,2,-1,Christian Braun
@WAS,W,21,1,3,0.333,0,0,0.0,0,0,0.0,2,4,6,2,0,1,1,3,2,-9,Christian Braun
@BOS,W,5,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,Christian Braun
@PHI,L,18,3,5,0.6,2,3,0.667,3,3,1.0,0,4,4,0,0,1,0,3,11,3,Christian Braun
IND,W,15,1,5,0.2,0,1,0.0,0,2,0.0,0,2,2,0,0,0,0,1,2,-5,Christian Braun
NOP,W,17,1,4,0.25,1,4,0.25,1,2,0.5,1,5,6,0,0,0,3,2,4,7,Christian Braun
@UTA,L,17,2,4,0.5,1,2,0.5,0,0,0.0,0,3,3,1,1,0,1,1,5,-5,Christian Braun
DET,W,21,3,5,0.6,0,1,0.0,1,2,0.5,0,3,3,1,0,1,0,0,7,6,Christian Braun
ORL,L,16,2,4,0.5,1,3,0.333,1,2,0.5,1,3,4,0,0,0,1,0,6,-2,Christian Braun
@GSW,W,18,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,1,1,1,1,3,2,-5,Christian Braun
CHA,W,24,3,6,0.5,1,3,0.333,2,3,0.667,1,3,4,2,1,2,1,1,9,-11,Christian Braun
OKC,L,17,0,3,0.0,0,2,0.0,4,4,1.0,0,3,3,1,0,0,1,1,4,-6,Christian Braun
MEM,W,23,4,8,0.5,1,2,0.5,2,4,0.5,0,3,3,4,1,0,0,0,11,13,Christian Braun
GSW,W,11,2,4,0.5,2,2,1.0,0,2,0.0,0,0,0,1,0,0,1,3,6,-22,Christian Braun
@CHA,W,18,3,7,0.429,2,3,0.667,3,3,1.0,2,5,7,1,0,2,1,1,11,-8,Christian Braun
@BKN,W,16,0,3,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,0,0,1,2,-12,Christian Braun
@TOR,W,17,1,4,0.25,1,2,0.5,0,0,0.0,1,2,3,2,1,0,0,0,3,-6,Christian Braun
DAL,W,20,2,4,0.5,0,1,0.0,2,3,0.667,0,4,4,1,0,0,1,4,6,19,Christian Braun
OKC,L,25,5,10,0.5,2,5,0.4,2,2,1.0,0,2,2,1,1,0,1,3,14,1,Christian Braun
BKN,W,24,4,10,0.4,1,3,0.333,1,1,1.0,1,3,4,2,0,2,1,0,10,7,Christian Braun
@CHI,W,23,4,6,0.667,2,4,0.5,3,4,0.75,1,1,2,2,0,1,3,1,13,-16,Christian Braun
@ATL,W,11,2,3,0.667,0,0,0.0,2,2,1.0,0,2,2,1,0,0,0,2,6,-2,Christian Braun
HOU,L,14,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,1,2,0,1,3,2,-9,Christian Braun
@LAC,L,16,4,6,0.667,0,1,0.0,0,0,0.0,1,4,5,0,0,1,0,3,8,-17,Christian Braun
@SAC,L,17,5,10,0.5,1,2,0.5,0,0,0.0,0,3,3,2,1,1,1,1,11,0,Christian Braun
@PHX,W,22,4,6,0.667,0,0,0.0,0,0,0.0,1,3,4,4,1,0,1,0,8,5,Christian Braun
HOU,W,19,4,7,0.571,1,2,0.5,2,2,1.0,1,2,3,1,0,0,2,2,11,0,Christian Braun
@LAC,W,12,0,4,0.0,0,1,0.0,0,0,0.0,1,1,2,2,0,0,0,4,0,-19,Christian Braun
SAS,W,25,1,5,0.2,0,1,0.0,3,4,0.75,1,3,4,4,0,0,0,1,5,0,Christian Braun
@HOU,L,26,3,9,0.333,0,0,0.0,1,1,1.0,0,3,3,0,0,0,0,1,7,-2,Christian Braun
@ORL,L,21,4,7,0.571,2,2,1.0,3,3,1.0,1,6,7,1,0,0,3,4,13,-13,Christian Braun
@DET,W,32,5,10,0.5,2,2,1.0,3,4,0.75,1,5,6,2,1,1,2,2,15,21,Christian Braun
@CLE,L,25,6,11,0.545,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,1,13,3,Christian Braun
@NOP,L,30,11,19,0.579,3,5,0.6,0,1,0.0,2,7,9,3,0,0,0,1,25,3,Christian Braun
LAC,W,20,5,6,0.833,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,3,10,-3,Christian Braun
@HOU,L,14,0,4,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,1,0,-11,Christian Braun
GSW,W,16,1,3,0.333,1,2,0.5,1,2,0.5,0,2,2,2,0,0,0,1,4,-8,Christian Braun
NOP,W,18,1,5,0.2,0,1,0.0,4,6,0.667,0,0,0,1,0,0,0,1,6,4,Christian Braun
CHI,W,18,4,8,0.5,1,3,0.333,1,2,0.5,1,4,5,4,1,0,0,1,10,-3,Christian Braun
DAL,W,15,3,4,0.75,0,0,0.0,3,3,1.0,2,3,5,0,1,0,1,3,9,-5,Christian Braun
@MIN,L,20,4,8,0.5,0,1,0.0,0,0,0.0,3,6,9,2,0,1,1,3,8,-3,Christian Braun
UTA,W,30,4,8,0.5,1,2,0.5,0,0,0.0,1,7,8,2,1,0,1,0,9,6,Christian Braun
@OKC,W,21,4,9,0.444,0,2,0.0,5,5,1.0,1,6,7,7,1,1,0,2,13,25,Christian Braun
@MEM,W,19,2,6,0.333,1,4,0.25,0,2,0.0,1,3,4,2,1,0,1,1,5,0,Christian Braun
LAL,W,19,2,5,0.4,0,1,0.0,1,2,0.5,1,2,3,2,0,1,1,1,5,5,Christian Braun
@LAL,W,37,10,10,1.0,5,5,1.0,0,0,0.0,0,10,10,4,1,1,1,0,25,4,Michael Porter Jr
MIA,W,38,12,23,0.522,4,10,0.4,2,2,1.0,2,9,11,3,2,2,2,2,30,1,Michael Porter Jr
SAC,W,24,5,11,0.455,2,6,0.333,2,2,1.0,0,5,5,1,0,1,3,3,14,35,Michael Porter Jr
@GSW,W,32,3,11,0.273,1,6,0.167,2,2,1.0,0,7,7,1,1,0,0,1,9,8,Michael Porter Jr
@POR,W,34,13,21,0.619,5,10,0.5,3,3,1.0,4,8,12,1,1,1,0,3,34,17,Michael Porter Jr
WAS,W,31,9,16,0.563,2,7,0.286,2,2,1.0,5,6,11,2,0,0,2,2,22,10,Michael Porter Jr
SAC,L,37,8,17,0.471,3,7,0.429,0,0,0.0,1,3,4,2,0,0,1,0,19,-10,Michael Porter Jr
@MIL,L,31,3,11,0.273,2,8,0.25,3,3,1.0,3,3,6,4,1,0,2,2,11,-16,Michael Porter Jr
@LAL,W,38,11,20,0.55,4,7,0.571,1,1,1.0,1,7,8,2,0,1,1,1,27,6,Michael Porter Jr
POR,W,24,4,10,0.4,2,6,0.333,2,2,1.0,3,2,5,3,0,3,3,1,12,-2,Michael Porter Jr
POR,W,35,5,14,0.357,3,10,0.3,0,0,0.0,0,4,4,1,0,0,1,0,13,8,Michael Porter Jr
@OKC,L,39,6,17,0.353,3,9,0.333,0,0,0.0,1,7,8,2,1,0,0,4,15,-16,Michael Porter Jr
MIL,W,37,6,14,0.429,1,3,0.333,0,0,0.0,2,6,8,0,0,0,1,2,13,-1,Michael Porter Jr
PHI,W,35,8,19,0.421,4,12,0.333,0,0,0.0,3,5,8,2,0,0,1,2,20,18,Michael Porter Jr
@NYK,L,22,2,4,0.5,0,0,0.0,1,1,1.0,3,3,6,0,0,0,2,2,5,-29,Michael Porter Jr
@IND,W,31,2,9,0.222,1,5,0.2,0,0,0.0,0,4,4,1,0,1,0,1,5,7,Michael Porter Jr
@WAS,W,32,8,14,0.571,3,7,0.429,0,0,0.0,0,5,5,0,2,2,3,2,19,13,Michael Porter Jr
@BOS,W,37,5,9,0.556,1,4,0.25,2,3,0.667,4,4,8,0,0,0,1,3,13,6,Michael Porter Jr
@PHI,L,34,6,12,0.5,4,8,0.5,4,5,0.8,0,5,5,0,1,0,1,3,20,-12,Michael Porter Jr
IND,W,37,9,15,0.6,7,11,0.636,0,0,0.0,0,8,8,5,1,2,1,1,25,13,Michael Porter Jr
NOP,W,33,8,12,0.667,2,5,0.4,2,3,0.667,1,9,10,1,1,1,1,2,20,14,Michael Porter Jr
@UTA,L,24,2,9,0.222,1,3,0.333,0,0,0.0,1,3,4,1,0,0,1,2,5,-18,Michael Porter Jr
DET,W,28,7,12,0.583,1,5,0.2,3,3,1.0,0,1,1,2,0,0,1,1,18,29,Michael Porter Jr
ORL,L,31,9,14,0.643,4,6,0.667,0,0,0.0,0,3,3,1,2,0,0,2,22,6,Michael Porter Jr
@GSW,W,30,3,6,0.5,2,5,0.4,0,0,0.0,0,4,4,0,0,0,0,3,8,5,Michael Porter Jr
CHA,W,31,8,17,0.471,4,11,0.364,2,2,1.0,1,7,8,1,0,0,1,1,22,33,Michael Porter Jr
OKC,L,31,4,12,0.333,2,8,0.25,2,2,1.0,0,6,6,1,0,1,0,1,12,-10,Michael Porter Jr
MEM,W,23,3,6,0.5,2,3,0.667,0,0,0.0,0,4,4,0,0,1,2,3,8,28,Michael Porter Jr
GSW,W,40,8,17,0.471,3,10,0.3,0,0,0.0,0,10,10,1,0,4,0,1,19,23,Michael Porter Jr
@CHA,W,31,8,14,0.571,5,8,0.625,1,2,0.5,1,4,5,1,1,2,1,2,22,15,Michael Porter Jr
@BKN,W,34,6,10,0.6,3,5,0.6,0,0,0.0,0,4,4,3,0,1,1,1,15,13,Michael Porter Jr
@TOR,W,33,5,13,0.385,2,7,0.286,0,0,0.0,1,5,6,2,1,0,0,1,12,10,Michael Porter Jr
DAL,W,23,3,8,0.375,2,3,0.667,0,0,0.0,2,2,4,1,0,0,2,1,8,13,Michael Porter Jr
OKC,L,32,8,18,0.444,4,8,0.5,0,0,0.0,0,11,11,0,0,0,1,0,20,1,Michael Porter Jr
BKN,W,23,3,8,0.375,1,4,0.25,2,2,1.0,2,4,6,1,1,0,0,0,9,11,Michael Porter Jr
@CHI,W,32,6,16,0.375,2,8,0.25,3,4,0.75,0,7,7,0,1,0,0,1,17,3,Michael Porter Jr
@ATL,W,26,1,11,0.091,0,4,0.0,1,2,0.5,2,5,7,3,0,0,1,3,3,12,Michael Porter Jr
HOU,L,40,8,12,0.667,3,6,0.5,1,1,1.0,1,7,8,0,0,2,2,3,20,11,Michael Porter Jr
@LAC,L,34,7,8,0.875,4,5,0.8,0,0,0.0,3,6,9,0,0,1,2,2,18,4,Michael Porter Jr
@SAC,L,33,6,12,0.5,1,5,0.2,0,0,0.0,0,8,8,2,0,2,1,1,13,-6,Michael Porter Jr
@PHX,W,37,8,16,0.5,0,4,0.0,3,3,1.0,1,9,10,4,2,1,2,1,19,8,Michael Porter Jr
HOU,W,34,11,17,0.647,7,12,0.583,1,3,0.333,2,8,10,5,1,0,0,2,30,26,Michael Porter Jr
@LAC,W,29,3,13,0.231,2,7,0.286,0,0,0.0,3,7,10,3,0,0,1,5,8,4,Michael Porter Jr
SAS,W,33,8,14,0.571,4,9,0.444,5,6,0.833,1,6,7,2,0,1,3,0,25,15,Michael Porter Jr
@HOU,L,37,6,14,0.429,2,8,0.25,0,0,0.0,1,6,7,1,1,2,1,1,14,-8,Michael Porter Jr
@ORL,L,31,9,16,0.563,5,9,0.556,2,2,1.0,0,2,2,0,1,0,0,4,25,5,Michael Porter Jr
@DET,W,38,5,15,0.333,4,9,0.444,0,1,0.0,2,9,11,2,0,1,4,3,14,-1,Michael Porter Jr
@CLE,L,27,7,15,0.467,5,9,0.556,2,2,1.0,1,5,6,0,1,0,2,2,21,-31,Michael Porter Jr
@NOP,L,33,8,14,0.571,2,6,0.333,0,1,0.0,3,8,11,0,0,0,0,3,18,-15,Michael Porter Jr
LAC,W,34,4,11,0.364,2,8,0.25,0,2,0.0,1,4,5,0,1,1,2,3,10,4,Michael Porter Jr
@HOU,L,38,11,19,0.579,3,10,0.3,0,0,0.0,2,8,10,0,0,1,2,3,25,2,Michael Porter Jr
GSW,W,37,7,17,0.412,3,8,0.375,0,0,0.0,2,6,8,2,0,2,0,1,17,13,Michael Porter Jr
NOP,W,29,8,16,0.5,2,6,0.333,4,4,1.0,2,7,9,3,0,0,1,2,22,13,Michael Porter Jr
CHI,W,31,9,16,0.563,5,10,0.5,4,5,0.8,1,5,6,2,1,2,2,4,27,30,Michael Porter Jr
DAL,W,34,10,18,0.556,4,8,0.5,0,0,0.0,5,4,9,1,0,2,1,2,24,17,Michael Porter Jr
@MIN,L,25,2,11,0.182,0,5,0.0,1,1,1.0,2,3,5,1,1,1,0,0,5,-19,Michael Porter Jr
UTA,W,19,3,8,0.375,2,6,0.333,0,0,0.0,0,1,1,2,0,1,1,3,8,2,Michael Porter Jr
@OKC,W,25,8,14,0.571,4,7,0.571,0,0,0.0,3,6,9,2,0,0,1,3,20,12,Michael Porter Jr
@MEM,W,29,3,7,0.429,2,5,0.4,1,1,1.0,1,12,13,3,0,0,1,4,9,4,Michael Porter Jr
LAL,W,30,5,13,0.385,2,9,0.222,0,0,0.0,2,10,12,2,2,0,0,1,12,12,Michael Porter Jr
SAC,W,2,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,3,Julian Strawther
@GSW,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,Julian Strawther
@POR,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,-7,Julian Strawther
WAS,W,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,Julian Strawther
@MIL,L,7,0,3,0.0,0,3,0.0,2,2,1.0,0,0,0,2,0,0,0,0,2,3,Julian Strawther
@SAC,L,20,3,8,0.375,1,5,0.2,0,0,0.0,0,3,3,2,1,0,2,1,7,-18,Julian Strawther
@GSW,W,9,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1,1,0,0,0,0,-6,Julian Strawther
CHA,W,13,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,1,2,-14,Julian Strawther
OKC,L,12,3,7,0.429,1,4,0.25,3,4,0.75,0,1,1,0,0,0,3,3,10,-15,Julian Strawther
MEM,W,25,5,13,0.385,2,8,0.25,0,0,0.0,0,3,3,2,0,1,1,4,12,6,Julian Strawther
GSW,W,8,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,2,-4,Julian Strawther
@CHA,W,16,4,10,0.4,2,5,0.4,0,0,0.0,1,0,1,1,1,0,1,0,10,-4,Julian Strawther
@BKN,W,11,0,5,0.0,0,3,0.0,0,0,0.0,1,2,3,0,0,0,1,1,0,-10,Julian Strawther
@TOR,W,14,3,6,0.5,1,4,0.25,0,0,0.0,0,1,1,2,2,0,0,2,7,1,Julian Strawther
DAL,W,21,5,10,0.5,2,4,0.5,0,0,0.0,0,3,3,2,1,0,0,1,12,9,Julian Strawther
OKC,L,15,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,8,Julian Strawther
BKN,W,20,3,11,0.273,2,6,0.333,0,0,0.0,0,4,4,1,0,0,0,0,8,5,Julian Strawther
@CHI,W,23,4,9,0.444,2,5,0.4,6,8,0.75,0,6,6,3,1,0,2,1,16,12,Julian Strawther
@ATL,W,28,8,16,0.5,6,11,0.545,0,0,0.0,0,1,1,2,5,0,2,1,22,-2,Julian Strawther
HOU,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-15,Julian Strawther
@LAC,L,13,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,1,4,0,-9,Julian Strawther
@SAC,L,12,1,3,0.333,0,2,0.0,1,2,0.5,0,1,1,2,0,0,0,0,3,-7,Julian Strawther
@PHX,W,18,4,9,0.444,3,8,0.375,0,0,0.0,0,3,3,0,0,1,0,2,11,0,Julian Strawther
HOU,W,13,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-2,Julian Strawther
@LAC,W,19,3,8,0.375,3,5,0.6,0,0,0.0,0,3,3,1,0,1,1,1,9,9,Julian Strawther
SAS,W,19,4,8,0.5,2,4,0.5,0,0,0.0,0,1,1,4,3,0,1,4,10,7,Julian Strawther
@HOU,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-15,Julian Strawther
@ORL,L,17,2,6,0.333,1,4,0.25,2,2,1.0,1,1,2,2,0,0,0,5,7,-5,Julian Strawther
@DET,W,15,1,5,0.2,0,3,0.0,2,2,1.0,0,2,2,2,0,0,0,1,4,-8,Julian Strawther
@CLE,L,20,2,6,0.333,1,3,0.333,2,2,1.0,0,2,2,1,0,1,0,4,7,8,Julian Strawther
@NOP,L,9,1,4,0.25,0,3,0.0,0,0,0.0,0,0,0,1,1,0,0,2,2,-16,Julian Strawther
@HOU,L,8,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-5,Julian Strawther
GSW,W,8,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-12,Julian Strawther
NOP,W,19,8,13,0.615,5,9,0.556,0,1,0.0,0,2,2,1,0,0,1,1,21,-7,Julian Strawther
CHI,W,9,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,0,3,-8,Julian Strawther
@MIN,L,16,2,7,0.286,1,6,0.167,0,1,0.0,0,0,0,0,1,2,0,0,5,2,Julian Strawther
UTA,W,6,2,4,0.5,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,4,1,Julian Strawther
@OKC,W,8,3,5,0.6,2,3,0.667,0,0,0.0,0,1,1,1,0,0,0,0,8,4,Julian Strawther
@MEM,W,5,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2,Julian Strawther
SAC,W,4,1,3,0.333,1,2,0.5,0,0,0.0,1,1,2,0,0,0,0,0,3,-1,Hunter Tyson
@NYK,L,7,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,2,1,0,-1,Hunter Tyson
BKN,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3,Hunter Tyson
HOU,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-9,Hunter Tyson
SAS,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1,Hunter Tyson
